content,sender,words
"今天的检测经历，记录一下。。 坐标：蛇口XX医院 ①复工门诊（临时户外场所...距医院本部很远...)  ②发热门诊 诉求：核酸检测+血清抗体检测  过程：混乱不堪.....  1、早上先赶往复工门诊测核酸，位于一处工地...  首先在入口处填写纸质版流调问卷，表格的症状一栏列着：发热、胸痛、干咳、呕吐腹泻、乏力几个选项，并没有味觉/嗅觉消失这类普遍症状。我问工作人员发热、乏力的判定标准是什么，工作人员答曰37.5+严重乏力，还补充了一句“一会儿乏力，一会儿不乏力这种就别填了..”。就这样，我一个选项也没勾，不够资格....   接下来就是交费取条码+咽部取样。棉签在咽喉刮了几秒钟，并不算难受。今晚就能拿到结果。离开前特意问了帮我取样的小哥医院本部能不能做抗体，他表示可以，“你打车过去吧...”  2、接下来，前往医院本部... 波折开始了。。 2.1 医院门口搭了好几个露天导诊台，大堆人群围在导诊台前面。 我挤进去开始咨询：电话客服告诉我如果不发热，建议挂全科，他们能开抗体检测？ 总台导诊人员：“不可以做吧？你去问问发热门诊。。"" 2.2 顺着箭头找到发热门诊，继续咨询。 发热门诊导诊人员：""不可以做，我们不开...” 我表示无法理解，电话客服和复工门诊均告知我该医院可以做抗体，怎么突然就变了。。 在我的一再坚持下，该导诊小妹给发热门诊领导打了个电话，领导表示“抗体检测无法收费（系统的原因），所以不给做”........... 这是几个意思？ 2.3 还没有死心，我又跑去了普通门诊导诊台，咨询全科能不能开抗体检测。大姐说，“全科不清楚，但发热门诊是可以开的，我们都做了...” ....  我崩了，这些人是一家医院的吗.... 我跟大姐解释了在发热门诊遇到的问题，她热心的带着我回了发热门诊，帮我咨询....  2.4 就这样回到发热门诊门口，重新交锋了好几轮，慢慢有其他工作人员过来围观.... 其中一位告诉我，""政策天天变，医院内部信息很乱"" ""做抗体的少，一般不给开；抗体检测抽血后还得送去疾控，比较麻烦“  .... 另一位告诉我 “别做抗体了，你也没接触过武汉来的，浪费国家资源”...  2.5 我崩溃了...看到眼前这家医院的混乱，很难相信深圳抗疫的“大好形势”...N95憋得我面红耳赤...   3. 决定放弃抗体检测了，为了不白跑一趟，还是挂个发热门诊的号查下血常规什么的吧... 毕竟身体机能不太正常.. 3.1 again，填纸质流调问卷... Bug出现了。三天体温没有超出过37.1的我，被护士现场测出了37.3，达到他们的发热标准（和复工门诊标准不一样...）... 就这样，我的流调信息变成了发热人士... 3.2 终于见到发热门诊的医生... 在我的一大段叙述后，他告诉我把号退了，明天再来吧.....要点转述如下： √ 从准确率的角度讲，要确诊一例新冠，一次核酸检测是不够的，至少做两次才有相对的把握。该医院之前有病人做了四次才确诊。。 √ 不管今天第一次核酸结果如何，明天上午都过来做第二次，且明天同时检查血常规、CT、抗体（怎么又可以做了？...）etc。多项检查综合判断是最稳妥的，核酸有局限。 ......  那好，明天见....",普通用户,检测 经历 记录 坐标 蛇口 医院 复工 门诊 场所 医院 发热 门诊 诉求 核酸检测 血清 抗体 检测 过程 混乱 不堪 复工 门诊 核酸 位于 工地 填写 纸质 流调 问卷 表格 症状 发热 胸痛 干咳 呕吐 腹泻 乏力 选项 味觉 嗅觉 消失 症状 工作人员 发热 乏力 判定 标准 工作人员 乏力 补充 乏力 乏力 选项 资格 交费 条码 咽部 取样 棉签 咽喉 几秒钟 不算 难受 拿到 离开 取样 小哥 医院 抗体 打车 医院 波折 医院 露天 导诊 人群 导诊 挤进去 咨询 电话 客服 告诉 发热 建议 全科 抗体 检测 总台 导诊 人员 问问 发热 门诊 箭头 找到 发热 门诊 咨询 发热 门诊 导诊 人员 不开 理解 电话 客服 复工 门诊 告知 医院 抗体 导诊 小妹 发热 门诊 领导 打了个 电话 领导 抗体 检测 收费 系统 原因 死心 门诊 导诊 咨询 全科 抗体 检测 大姐 全科 发热 门诊 医院 大姐 解释 发热 门诊 热心 发热 门诊 咨询 回到 发热 门诊 交锋 工作人员 围观 告诉 政策 医院 信息 抗体 抗体 检测 抽血 麻烦 告诉 抗体 接触 武汉 浪费 国家 资源 崩溃 医院 混乱 深圳 抗疫 放弃 抗体 检测 白跑一趟 发热 门诊 号查 血常规 身体 机能 纸质 流调 问卷 体温 超出 护士 现场 测出 发热 标准 复工 门诊 标准 流调 信息 发热 人士 见到 发热 门诊 医生 一大 叙述 告诉 要点 转述 准确率 角度 核酸检测 把握 医院 病人 核酸 检查 血常规 抗体 检查 综合 判断 稳妥 核酸 局限
实事求是是处理任何问题、矛盾的最有效方法//关于武汉市新冠肺炎确诊病例数确诊病例死亡数订正情况的通报关于武汉市新冠肺炎确诊病例数确诊病例死亡数订正情况的通报,普通用户,实事求是 矛盾 方法 武汉市 死亡数 订正 情况 通报 武汉市 死亡数 订正 情况 通报
#日行一善[超话]# 哀悼全国各族人民对抗新冠肺炎疫情斗争牺牲烈士和逝世同胞 对不幸消逝的生命保持应有的尊重 缅怀烈士，追思同胞，致敬英雄，长眠安息[蜡烛]  中国的命运与世界的命运紧密相关，我们要把弘扬爱国主义精神与扩大对外开放结合进来，尊重各国的历史特点、文化传统，尊重各国人民选择的发展道路，善于从不同文明中寻求智慧、汲取营养，增强中华文明生机活力。,普通用户,超话 哀悼 全国 对抗 斗争 牺牲 烈士 逝世 同胞 不幸 消逝 生命 应有 尊重 缅怀 烈士 追思 同胞 致敬 英雄 长眠 安息 蜡烛 命运 世界 命运 紧密 相关 弘扬 爱国主义 精神 尊重 历史 文化 传统 尊重 人民 选择 发展 道路 善于 文明 寻求 智慧 汲取 营养 增强 中华文明 生机 活力
光华管理学院 正在#bilibili# 直播新冠病毒疫情对中小微企业和资本市场影响～http://t.cn/A6PElxik,普通用户,光华 管理 学院 直播 企业 资本 市场 影响
致敬奋斗在战疫第一线的英雄们。 哪有什么岁月静好，不过有人替你负重前行！ 我也出一份力，随然不能出门拍照📸 ，但是我可以修图🖥️ 。#全国确诊新型肺炎病例##新型肺炎确诊440例死亡9例##抗击新型肺炎第一线##抗击新型肺炎我们在行动##新闻# 呼伦贝尔 显示地图,普通用户,致敬 奋斗 战疫 英雄 负重 前行 出门 拍照 修图 全国 死亡 抗击 抗击 新闻 呼伦贝尔
##新冠当下危重早产儿艰难的进京求医路##小善意，大温暖。我在“新冠当下危重早产儿艰难的进京求医路”项目捐款成功！和@Demo飘如陌上尘 一起用善举温暖更多心灵！@中华儿慈会-祝福宝贝 新冠当下危重早产儿艰难的进京求医路,普通用户,危重 早产儿 艰难 进京 求医 善意 温暖 危重 早产儿 艰难 进京 求医 项目 捐款 成功 飘如 善举 温暖 心灵 中华 祝福 宝贝 危重 早产儿 艰难 进京 求医
没事各自忙，有难一起扛！我已0元加入新冠病毒互助计划，次日生效，不限年龄，不分地域，不收取管理费，更有新浪捐助1000万元，助力全民战“疫”！众志成城，疫情退散！免费领取30万“抗肺炎”保障,普通用户,没事 互助 计划 生效 年龄 地域 收取 管理费 新浪 捐助 助力 全民 众志成城 退散 免费 领取 保障
#韩国新冠肺炎增至1146例#一天家里杀鸡，家里的金毛在旁边看着，烧了一大锅热水把鸡毛褪了，热水没用完，就想着顺便给狗洗个澡，结果金毛给吓跑了，藏起来怎么叫它都不出来。,普通用户,韩国 增至 杀鸡 金毛 看着 大锅 热水 鸡毛 热水 没用 想着 顺便 金毛 吓跑
如果没有“新冠”，此刻我们也不必隔着屏幕欣赏这近在咫尺的美景！待到春暖花开时，雪景变花海！我们错过了村子里的银装素裹，一定会赶上更美的花团锦簇！心向美好，守得云开见月明！#下雪啦##北京爆料# @北京同城 @密云生活圈儿 @北京发布 @北京美丽乡村 北京·北京云青舍精品民宿 云青舍精品民宿掌柜的微博视频 显示地图,普通用户,屏幕 欣赏 美景 雪景 花海 错过 村子 银装素裹 美的 美好 开见 下雪 北京 爆料 北京 密云 生活 圈儿 北京 发布 北京 美丽 乡村 北京 北京 云青舍 精品 民宿 云青舍 精品 民宿 掌柜的
【#重庆# 高校开学后封闭管理 校内人员未经批准不得外出】在26日召开的重庆市新冠肺炎疫情防控工作新闻发布会上，市教委副主任邓沁泉表示，开学复课后，高校将继续实行校园封闭管理，并暂停校内集会性活动。严格控制校外人员、车辆进入校门，校内人员未经批准不得外出。（华龙网）  http://t.cn/EGc2DE2显示地图,普通用户,重庆 高校 开学 封闭 管理 人员 批准 外出 重庆市 疫情防控 工作 新闻 发布会 市教委 邓沁泉 开学 复课 高校 实行 校园 封闭 管理 集会 活动 严格控制 人员 车辆 校门 人员 批准 外出 华龙网
#江苏新增4例新冠肺炎# 武汉人不仅要背锅  还要封闭起来 真的是辛苦武汉人民了 [泪] 我发现新闻上面出来的首例中武汉人有四五十岁的呃 我估计他们有的是不怎么关注新闻微博 还有的就是不重视  现在我希望大家可以重视起来 ，也不要地域黑。,普通用户,江苏 新增 武汉 封闭 辛苦 武汉 人民 发现 新闻 首例 武汉 估计 关注 新闻 重视 希望 重视 地域
说实话，还有人比现在的美国总统更了解新冠病毒吗？！！！全美从零感染到重大灾难：白宫，70天里你到底在干什么？ 全美从零感染到重大灾难：白宫，70天里你到底在干什么？,普通用户,总统 全美 灾难 白宫 全美 灾难 白宫
如果回过头再看，大概都会总结，哪一年的非典是怎么样的，哪一年的新冠肺炎是怎么样的，什么时候开始、什么时候结束、造成了什么样的伤亡和损失…… 但这还原不出我们现在每天早晨看数字通报的担忧，看微博热搜的焦虑，足不出门的无奈和为每一点希望而尽力、而激动、而跌宕的心情。  我们活在当下。,普通用户,回过 结束 伤亡 损失 还原 数字 通报 担忧 焦虑 希望 激动 跌宕 心情
新冠肺炎疫情暴发后，朝**是最早采取严格管理措施的国家之一。1月底，朝**当局宣布进入国家紧急防疫状态，切断了海陆空入境渠道，封锁边界，对国外出差人员、相关接触者及有异常症状者强化了医学观察和隔离，对外国人的检疫期也延长至30天。进口货物的检疫消毒力度，也同步加大。2月27日，朝**保健省副相金亨勋表示，朝**维持对外国人的入境禁令不变，直到可以正确治疗和治愈该病毒为止。,普通用户,暴发 严格管理 措施 国家 当局 国家 紧急 防疫 状态 切断 海陆空 入境 渠道 封锁 边界 出差 人员 相关 接触 症状 强化 医学观察 隔离 外国人 检疫 延长 进口 货物 检疫 消毒 力度 加大 保健 金亨勋 外国人 入境 禁令 正确 治疗 治愈 病毒
搜狐新闻:【广州通报外籍新冠肺炎患者打伤护士：警方已对打伤护士的该名患者作为刑事案件调查】http://t.cn/A6ZOmHkP（分享自 @搜狐新闻客户端）http://t.cn/RxDGBUS,普通用户,搜狐 新闻 广州 通报 外籍 打伤 护士 警方 打伤 护士 刑事案件 调查 分享 搜狐 新闻 客户端
早安！吉祥#今日贴纸打卡##抗击新型肺炎第一线# 青岛·樱花小镇 显示地图,普通用户,早安 吉祥 贴纸 打卡 抗击 青岛 樱花 小镇
战“疫”后新机遇——王一鸣：新冠肺炎疫情对中国经济影响几何？ 战“疫”后新机遇——王一鸣：新冠肺炎疫情对中国经济影响几何？,普通用户,新机遇 王一鸣 经济 影响 新机遇 王一鸣 经济 影响
“COVID-19”剧本——《传染病Contagion》,普通用户,剧本 传染病
#武汉一名新型肺炎患者被成功救治#这真的是最近最好的消息了，希望大家都好好的,普通用户,武汉 成功 救治 消息 希望
#全国确诊新型肺炎病例#看得人胃疼，感觉心一直悬着，难受,普通用户,全国 看得人 感觉 难受
#哀悼抗击新冠疫情牺牲烈士和逝世同胞#  鸣笛的时候不自觉的热泪盈眶 幸得有你，山河无恙 愿逝者安息 致敬英雄[泪][心]🙏[蜡烛][蜡烛][蜡烛][蜡烛][蜡烛][蜡烛],普通用户,哀悼 抗击 牺牲 烈士 逝世 同胞 鸣笛 山河 逝者 安息 致敬 英雄 蜡烛 蜡烛 蜡烛 蜡烛 蜡烛 蜡烛
美国新冠病毒感染病例超过45万http://t.cn/A6wZXtAU 文化底蕴的差异，执政理念的差异，因此造成众多人命关天的差异！,普通用户,感染病例 超过 文化底蕴 差异 执政 理念 差异 差异
#特朗普称已接受新冠病毒检测#童年，好似一池湖水，清澈见底。长大以后，才会对童年有如诗如画般的[哼]感悟。,普通用户,特朗普 接受 检测 好似 湖水 长大 感悟
世卫组织总干事：中国从源头上控制新冠肺炎疫情的措施令人鼓舞 世卫组织总干事：中国从源头上控制新冠肺炎疫情的措施令人鼓舞,普通用户,世卫 组织 总干事 源头 控制 措施 世卫 组织 总干事 源头 控制 措施
自从开始寄宿求学，从没在家待到超过正月十六。工作以后，在家过十五的日子也少的可怜。今年，感谢新冠肺炎，让我踏实在家待到了今天，可能还得再继续待到不知什么时候。因为疫情，家里异常和谐，没有亲戚追问什么时候结婚的新年特别完美。突然也对过年不那么反感了。好喜欢今年的新年。如果疫情早点儿过去，我会更喜欢今年的新年。加油武汉，加油中国。 http://t.cn/EADAeZL显示地图,普通用户,寄宿 求学 超过 工作 日子 可怜 感谢 踏实 不知 和谐 亲戚 追问 结婚 完美 反感 喜欢 我会 喜欢 加油 武汉 加油
#抗击新型肺炎第一线# 不知何时才能换回燕尾帽，愿疫情早日结束！ 中国加油！,普通用户,抗击 不知 换回 燕尾 结束 加油
#全国累计确诊新型肺炎7711例# 疑似过万 这是个什么节奏啊  记得最开始关注时只有120多 前几天还说不会超过非典 怎么就越来越严重了呢[悲伤]心慌[悲伤],普通用户,全国 累计确诊 疑似 节奏 记得 关注 超过 悲伤 心慌 悲伤
#通大分享# ////通大2020届毕业生丨不出家门，02FYJEt25，上春招“职”等你来随着时间的流逝，2020年春招也陆续拉开了序幕，受新冠状病毒肺炎疫情的影响，许多公司为毕业生们开启了网上招聘通道，为了方便通大应届毕业生及时获取就业信息，找到心仪的工作岗位，小编在这里精选了部分线上招聘资讯，点击“详情链接 ...全文,普通用户,分享 毕业生 家门 时间 流逝 拉开 序幕 受新 影响 公司 毕业生 开启 招聘 通道 应届 毕业生 获取 就业 信息 找到 心仪 工作岗位 精选 招聘 资讯 点击 详情 链接 全文
#江苏确诊首例新型肺炎病例#大西北挺住啊！！！！！[泪][泪][泪]我们江苏决赛圈不行了,普通用户,江苏 首例 大西北 挺住 江苏 决赛圈 不行
我分享了@新浪新闻 的文章 华南海鲜市场不是新冠病毒发源地！追踪“零号病人”再进一步,普通用户,分享 新浪 新闻 华南海鲜市场 发源地 追踪 零号 病人
#浙江新增123例新型肺炎#救救浙江吧 要哭了[失望][失望][失望],普通用户,浙江 新增 救救 浙江 失望 失望 失望
发表了博文《第281篇春节打油诗》新冠肺炎来搅扰，大家居家不乱跑。窝在家里戴口罩，保护生命最重要。不信谣传信政府，让咱咋着咱咋着。第281篇春节打油诗,普通用户,发表 博文 打油诗 搅扰 居家 乱跑 戴口罩 保护 生命 谣传 政府 咋着 打油诗
来运送口罩的法国飞行员在上海治好了新冠！ 我估计全世界的飞行员都抢着飞中国啦 至自己巫的微博视频,普通用户,运送 口罩 法国 飞行员 上海 治好 估计 全世界 飞行员
『全国新型肺炎疫情实时动态 - 丁香园·丁香医生』http://t.cn/A6vBv3yL,普通用户,全国 动态 丁香 丁香 医生
中新社综述国外疫情 //摘引: ＊据美国约翰斯·霍普金斯大学发布的实时统计数据显示，截至北京时间22日8时13分，全球新冠肺炎确诊病例累计超过30万例，死亡病例接近1.3万例。全球确诊病例超30万！意大利总理宣布全国“停产” 全球确诊病例超30万！意大利总理宣布全国“停产”,普通用户,中新社 综述 摘引 约翰斯 霍普金斯大学 发布 统计数据 北京 时间 全球 累计 超过 死亡病例 接近 全球 意大利 总理 全国 停产 全球 意大利 总理 全国 停产
